"Store","StoreType","Assortment","CompetitionDistance","CompetitionOpenSinceMonth","CompetitionOpenSinceYear","Promo2","Promo2SinceWeek","Promo2SinceYear","PromoInterval"
954,"a","a",390,2,2013,1,10,2014,"Jan,Apr,Jul,Oct"
955,"d","c",1690,7,2009,1,36,2013,"Mar,Jun,Sept,Dec"
956,"a","a",2330,10,2014,1,18,2011,"Feb,May,Aug,Nov"
957,"d","c",1420,11,2012,0,,,""
958,"a","a",440,11,2013,0,,,""
959,"a","c",1060,12,2005,0,,,""
960,"d","a",8990,,,1,31,2009,"Feb,May,Aug,Nov"
961,"d","c",9430,,,0,,,""
962,"c","a",260,,,0,,,""
963,"a","c",23620,11,2013,0,,,""
964,"a","a",270,,,1,5,2013,"Feb,May,Aug,Nov"
965,"a","c",110,,,0,,,""
966,"a","a",760,2,2008,0,,,""
967,"a","c",3560,9,2013,1,36,2013,"Jan,Apr,Jul,Oct"
968,"c","a",1190,,,0,,,""
969,"a","c",600,11,1999,1,10,2013,"Jan,Apr,Jul,Oct"
970,"a","a",910,12,2014,1,37,2009,"Jan,Apr,Jul,Oct"
971,"c","a",1140,5,2011,1,14,2012,"Mar,Jun,Sept,Dec"
972,"a","a",14960,,,0,,,""
973,"d","c",330,,,1,28,2012,"Jan,Apr,Jul,Oct"
974,"a","a",150,3,2011,1,40,2014,"Jan,Apr,Jul,Oct"
975,"a","c",9630,,,1,14,2011,"Jan,Apr,Jul,Oct"
976,"a","a",4180,,,0,,,""
977,"a","a",520,9,2005,1,13,2010,"Jan,Apr,Jul,Oct"
978,"c","c",3890,,,0,,,""
979,"a","c",2270,11,2005,1,14,2011,"Jan,Apr,Jul,Oct"
980,"a","a",4420,9,2005,0,,,""
981,"d","c",2620,11,2002,0,,,""
982,"d","a",21930,,,0,,,""
983,"a","a",40,3,2014,1,1,2014,"Jan,Apr,Jul,Oct"
984,"c","a",440,,,1,1,2013,"Jan,Apr,Jul,Oct"
985,"c","c",490,5,2007,1,13,2010,"Jan,Apr,Jul,Oct"
986,"a","a",620,10,2014,1,18,2014,"Feb,May,Aug,Nov"
987,"c","a",1690,6,2007,0,,,""
988,"a","a",30,11,2012,0,,,""
989,"a","a",1640,6,2006,1,40,2011,"Jan,Apr,Jul,Oct"
990,"d","a",20930,,,0,,,""
991,"a","a",1010,,,0,,,""
992,"a","a",2480,7,1990,0,,,""
993,"d","c",3460,10,2013,1,10,2014,"Jan,Apr,Jul,Oct"
994,"a","a",2290,7,2011,1,1,2012,"Jan,Apr,Jul,Oct"
995,"d","a",6560,12,2013,0,,,""
996,"c","a",2870,7,2015,1,13,2010,"Jan,Apr,Jul,Oct"
997,"d","c",5840,7,2010,1,37,2009,"Jan,Apr,Jul,Oct"
998,"a","a",780,9,2005,1,5,2013,"Feb,May,Aug,Nov"
999,"d","c",15140,2,2002,1,37,2009,"Jan,Apr,Jul,Oct"
1000,"a","c",2230,5,2009,1,40,2014,"Jan,Apr,Jul,Oct"
1001,"c","a",19640,,,1,14,2011,"Jan,Apr,Jul,Oct"
1002,"d","c",1130,11,2008,0,,,""
1003,"a","a",170,7,2013,1,27,2013,"Jan,Apr,Jul,Oct"
1004,"d","c",970,,,1,9,2011,"Mar,Jun,Sept,Dec"
1005,"a","a",6480,,,0,,,""
1006,"c","c",3890,11,2006,1,5,2013,"Feb,May,Aug,Nov"
1007,"c","c",4180,9,2012,0,,,""
1008,"a","c",30,9,2010,0,,,""
1009,"a","a",230,7,2004,1,10,2014,"Jan,Apr,Jul,Oct"
1010,"d","c",4610,6,2010,1,18,2010,"Feb,May,Aug,Nov"
1011,"a","c",490,9,2012,1,18,2011,"Feb,May,Aug,Nov"
1012,"d","c",6330,6,2004,1,39,2010,"Jan,Apr,Jul,Oct"
1013,"a","a",630,2,2015,1,31,2013,"Feb,May,Aug,Nov"
1014,"a","c",210,,,1,31,2013,"Jan,Apr,Jul,Oct"
1015,"d","c",9910,12,2010,1,9,2011,"Mar,Jun,Sept,Dec"
1016,"c","c",550,,,1,35,2010,"Mar,Jun,Sept,Dec"
1017,"c","a",110,11,2008,0,,,""
1018,"c","c",140,9,2012,0,,,""
1019,"d","c",2740,7,2014,1,13,2010,"Jan,Apr,Jul,Oct"
1020,"a","a",40,8,2015,0,,,""
1021,"a","a",1080,5,2011,0,,,""
1022,"a","c",1520,,,0,,,""
1023,"c","a",3740,2,2002,1,14,2011,"Jan,Apr,Jul,Oct"
1024,"c","c",1990,1,2012,0,,,""
1025,"a","a",720,11,2009,0,,,""
1026,"c","a",450,6,2011,1,48,2012,"Mar,Jun,Sept,Dec"
1027,"a","c",190,6,2008,1,40,2011,"Jan,Apr,Jul,Oct"
1028,"a","a",150,,,1,31,2013,"Jan,Apr,Jul,Oct"
1029,"a","a",1590,3,2006,0,,,""
1030,"a","a",36410,4,2008,0,,,""
1031,"d","a",590,5,2001,0,,,""
1032,"d","c",270,2,2013,1,40,2012,"Jan,Apr,Jul,Oct"
1033,"a","a",7680,3,2006,0,,,""
1034,"a","a",13750,4,2015,0,,,""
1035,"a","a",27150,,,0,,,""
1036,"d","c",9560,,,1,36,2013,"Jan,Apr,Jul,Oct"
1037,"a","c",150,,,0,,,""
1038,"d","a",17290,10,2013,0,,,""
1039,"a","c",70,6,1990,1,22,2012,"Mar,Jun,Sept,Dec"
1040,"a","a",4030,2,2013,1,10,2014,"Jan,Apr,Jul,Oct"
1041,"c","a",1600,8,2013,1,40,2014,"Jan,Apr,Jul,Oct"
1042,"a","a",3440,,,1,31,2013,"Feb,May,Aug,Nov"
1043,"c","a",420,3,2006,0,,,""
1044,"c","a",240,4,2015,1,13,2010,"Jan,Apr,Jul,Oct"
1045,"a","c",26990,12,2013,0,,,""
1046,"d","c",29070,4,2005,0,,,""
1047,"a","a",3750,,,1,45,2009,"Feb,May,Aug,Nov"
1048,"d","c",1860,9,2012,1,40,2012,"Jan,Apr,Jul,Oct"
1049,"a","a",370,7,2012,1,14,2011,"Jan,Apr,Jul,Oct"
1050,"d","c",13170,8,2014,1,9,2011,"Mar,Jun,Sept,Dec"
1051,"c","a",200,7,1998,1,1,2012,"Jan,Apr,Jul,Oct"
1052,"a","c",5080,,,1,31,2013,"Feb,May,Aug,Nov"
1053,"a","a",1710,7,2015,0,,,""
1054,"a","c",13190,,,1,45,2013,"Feb,May,Aug,Nov"
1055,"c","a",1980,4,2009,0,,,""
1056,"d","c",5350,,,1,40,2012,"Jan,Apr,Jul,Oct"
1057,"d","c",3230,11,2011,0,,,""
1058,"a","c",180,,,1,35,2010,"Mar,Jun,Sept,Dec"
1059,"c","a",3380,4,2013,0,,,""
1060,"a","c",3430,,,1,31,2013,"Feb,May,Aug,Nov"
1061,"d","c",8110,,,0,,,""
1062,"d","a",190,9,2012,1,40,2012,"Feb,May,Aug,Nov"
1063,"a","c",6250,,,0,,,""
1064,"a","c",420,,,0,,,""
1065,"a","a",1290,,,1,35,2011,"Mar,Jun,Sept,Dec"
1066,"a","a",3350,,,0,,,""
1067,"d","c",12020,7,2009,0,,,""
1068,"d","c",5010,,,1,5,2013,"Jan,Apr,Jul,Oct"
1069,"a","c",18050,,,1,14,2011,"Jan,Apr,Jul,Oct"
1070,"c","c",400,10,2008,0,,,""
1071,"a","a",820,3,2012,1,35,2012,"Mar,Jun,Sept,Dec"
1072,"a","c",5380,8,2015,1,5,2010,"Feb,May,Aug,Nov"
1073,"a","c",1710,,,1,44,2012,"Jan,Apr,Jul,Oct"
1074,"c","c",3330,10,2001,1,14,2011,"Jan,Apr,Jul,Oct"
1075,"a","c",1410,10,2013,0,,,""
1076,"a","c",90,,,1,1,2013,"Jan,Apr,Jul,Oct"
1077,"a","a",3750,11,2001,1,35,2010,"Mar,Jun,Sept,Dec"
1078,"d","c",670,,,1,40,2011,"Jan,Apr,Jul,Oct"
1079,"a","a",16680,,,1,37,2009,"Jan,Apr,Jul,Oct"
1080,"a","a",2410,,,1,40,2014,"Jan,Apr,Jul,Oct"
1081,"b","a",400,3,2006,0,,,""
1082,"c","a",440,4,2002,0,,,""
1083,"d","c",11540,,,1,5,2013,"Feb,May,Aug,Nov"
1084,"a","a",190,,,1,13,2010,"Jan,Apr,Jul,Oct"
1085,"c","a",4030,2,2015,0,,,""
1086,"a","a",180,11,2013,1,18,2011,"Feb,May,Aug,Nov"
1087,"d","c",2210,11,2011,0,,,""
1088,"a","a",4300,3,2009,1,27,2013,"Jan,Apr,Jul,Oct"
1089,"d","a",5220,5,2009,0,,,""
1090,"a","a",330,,,1,14,2011,"Jan,Apr,Jul,Oct"
1091,"a","c",9990,,,0,,,""
1092,"a","a",300,7,2000,1,40,2014,"Jan,Apr,Jul,Oct"
1093,"c","c",10450,6,2009,0,,,""
1094,"d","a",2380,3,2013,1,40,2014,"Jan,Apr,Jul,Oct"
1095,"a","a",690,6,2007,1,14,2011,"Jan,Apr,Jul,Oct"
1096,"a","c",1130,,,1,10,2014,"Mar,Jun,Sept,Dec"
1097,"b","b",720,3,2002,0,,,""
1098,"a","a",1830,11,2004,0,,,""
1099,"a","c",200,4,2013,1,14,2013,"Jan,Apr,Jul,Oct"
1100,"a","a",540,,,1,14,2011,"Jan,Apr,Jul,Oct"
1101,"d","c",4060,9,2012,0,,,""
1102,"a","a",850,11,2012,1,40,2014,"Jan,Apr,Jul,Oct"
1103,"d","c",1340,10,2006,1,5,2013,"Feb,May,Aug,Nov"
1104,"d","a",260,2,2012,1,14,2011,"Jan,Apr,Jul,Oct"
1105,"c","c",330,11,2008,1,5,2013,"Feb,May,Aug,Nov"
1106,"a","c",5330,9,2011,1,31,2013,"Jan,Apr,Jul,Oct"
1107,"a","a",1400,6,2012,1,13,2010,"Jan,Apr,Jul,Oct"
1108,"a","a",540,4,2004,0,,,""
1109,"c","a",3490,4,2011,1,22,2012,"Jan,Apr,Jul,Oct"
1110,"c","c",900,9,2010,0,,,""
1111,"a","a",1900,6,2014,1,31,2013,"Jan,Apr,Jul,Oct"
1112,"c","c",1880,4,2006,0,,,""
1113,"a","c",9260,,,0,,,""
1114,"a","c",870,,,0,,,""
1115,"d","c",5350,,,1,22,2012,"Mar,Jun,Sept,Dec"
